message,label
Warning: Unusual login attempt detected on your Amazon. Verify your identity.,1
Congratulations! You have won a free vacation. Click here to claim your reward.,1
Official communication: Your Netflix will be suspended unless you comply with our security update.,1
"Dear user, we noticed irregular transactions in your Bank of America account. Confirm your details now.",1
Warning: Unusual login attempt detected on your Amazon. Verify your identity.,1
Security alert: We have detected suspicious activity on your ProtonMail. Reset your password now!,1
Immediate action required: Your banking subscription is expiring. Renew now.,1
Act fast! Your HSBC account will be locked if not verified within 24 hours.,1
Security alert: We have detected suspicious activity on your ProtonMail. Reset your password now!,1
Attention: Your recent activity violates our Google policy. Verify your account to avoid penalties.,1
Claim your limited-time 20% discount on software subscription. Click here to activate your reward.,1
You’ve been selected for a premium email trial. Sign up now before the offer expires.,1
Act fast! Your Bank of America account will be locked if not verified within 24 hours.,1
Urgent! Your Netflix has been compromised. Click here to secure it now!,1
This is an official notice from Google. Your account requires immediate verification.,1
Security alert: We have detected suspicious activity on your Outlook. Reset your password now!,1
Special access granted! Login now to receive your gift card before it’s too late.,1
"As per Customs & Border Protection regulations, you must update your tax details immediately.",1
Urgent! Your Amazon has been compromised. Click here to secure it now!,1
Special access granted! Login now to receive your premium service before it’s too late.,1
This is an official notice from Google. Your account requires immediate verification.,1
Urgent! Your Facebook has been compromised. Click here to secure it now!,1
Special access granted! Login now to receive your free e-book before it’s too late.,1
Congratulations! You have won a luxury watch. Click here to claim your reward.,1
Warning: Unusual login attempt detected on your Facebook. Verify your identity.,1
Immediate action required: Your Netflix subscription is expiring. Renew now.,1
Claim your limited-time 20% discount on software subscription. Click here to activate your reward.,1
Security alert: We have detected suspicious activity on your Yahoo Mail. Reset your password now!,1
Immediate action required: Your email subscription is expiring. Renew now.,1
Exclusive offer! Get a free discount coupon by verifying your account today.,1
This is an official notice from Microsoft. Your account requires immediate verification.,1
Official communication: Your Spotify will be suspended unless you comply with our security update.,1
Congratulations! You have won a luxury watch. Click here to claim your reward.,1
Security alert: We have detected suspicious activity on your Outlook. Reset your password now!,1
Urgent! Your PayPal has been compromised. Click here to secure it now!,1
Congratulations! You have won a VIP membership. Click here to claim your reward.,1
Immediate action required: Your Spotify subscription is expiring. Renew now.,1
Warning: Unusual login attempt detected on your Facebook. Verify your identity.,1
Warning: Unusual login attempt detected on your PayPal. Verify your identity.,1
Exclusive offer! Get a free free subscription by verifying your account today.,1
Attention: Your recent activity violates our Amazon policy. Verify your account to avoid penalties.,1
