message,label
Immediate action required: Your Spotify subscription is expiring. Renew now.,1
Official communication: Your banking will be suspended unless you comply with our security update.,1
Urgent! Your Amazon has been compromised. Click here to secure it now!,1
Attention: Your recent activity violates our Apple policy. Verify your account to avoid penalties.,1
Official communication: Your banking will be suspended unless you comply with our security update.,1
You’ve been selected for a premium Netflix trial. Sign up now before the offer expires.,1
This is an official notice from Microsoft. Your account requires immediate verification.,1
Claim your limited-time special cashback deal on laptop. Click here to activate your reward.,1
Urgent! Your PayPal has been compromised. Click here to secure it now!,1
Official communication: Your Netflix will be suspended unless you comply with our security update.,1
"As per IRS regulations, you must update your tax details immediately.",1
"Dear user, we noticed irregular transactions in your HSBC account. Confirm your details now.",1
Immediate action required: Your Netflix subscription is expiring. Renew now.,1
Special access granted! Login now to receive your free e-book before it’s too late.,1
Urgent! Your Google has been compromised. Click here to secure it now!,1
Immediate action required: Your email subscription is expiring. Renew now.,1
Attention: Your recent activity violates our Microsoft policy. Verify your account to avoid penalties.,1
Congratulations! You have won a free vacation. Click here to claim your reward.,1
Act fast! Your CitiBank account will be locked if not verified within 24 hours.,1
Official communication: Your email will be suspended unless you comply with our security update.,1
Warning: Unusual login attempt detected on your Facebook. Verify your identity.,1
Exclusive offer! Get a free discount coupon by verifying your account today.,1
Urgent! Your Google has been compromised. Click here to secure it now!,1
"As per IRS regulations, you must update your tax details immediately.",1
Immediate action required: Your banking subscription is expiring. Renew now.,1
Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,1
We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,1
Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP,1
"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",1
Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,1
Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins,1
PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,1
Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,1
What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,1
"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",1
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,1
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,1
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,1
Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,1
"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",1
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",1
money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy,1
"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",1
"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",1
How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),1
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,1
Filthy stories and GIRLS waiting for your,1
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,1
"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",1
Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,1
"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",0
Good Morning plz call me sir,0
Lol alright i was thinkin that too haha,0
Ok pa. Nothing problem:-),0
"Alright omw, gotta change my order to a half8th",0
Sorry about that this is my mates phone and i didnt write it love Kate,0
"Aight, see you in a bit",0
JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,0
"Actually , just do whatever, do find an excuse to be in tampa at some point before january though",0
Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke,0
Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,0
Are you at work right now ?,0
At 4. Let's go to bill millers,0
"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do",0
K..u also dont msg or reply to his msg..,0
If india win or level series means this is record:),0
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",0
Wot u up 2 u weirdo?,0
Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,0
Hmmm.but you should give it on one day..,0
Just do what ever is easier for you,0
And whenever you and i see we can still hook up too.,0
I attended but nothing is there.,0
"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",0
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",0
"BEGIN PGP SIGNED MESSAGE----- Hash: SHA1 The Saturday 2008-02-09 at 10:31 -0800, Vahe Avedissian wrote: I always keep a second small installation in a separate partition, for emergencies. Better let each install do it's own grub into its root or boot partition, not the mbr. That way they don't collide. - -- Cheers, Carlos E. R. -----BEGIN PGP SIGNATURE----- Version: GnuPG v2.0.4-svn0 (GNU/Linux) iD8DBQFHrfdYtTMYHG2NR9URAvFCAJ0fha4CdZottgHoYZaNsdQDAWSBiwCeIwwd +tpSGcGvT1b2fsd6jhj7vb0= =U5rE -----END PGP SIGNATURE",0
"Tony -- Regardless of how the rest of your day goes, here's something to be happy about -- today one of your donated MXs helped to identify a previously unknown email harvester (IP: 70.169.1.203). The harvester was caught a spam trap email address created with your donated MX: hmail.madsods.gen.nz You can find information about your newly identified harvester here: Don't forget to tell your friends you made the Internet a little better today. You can refer them to Project Honey Pot directly from our website: You've chosen to receive this message every time one of your honey pots or donated MXs helps identify a new harvester. We don't blame you, we're constantly checking in to see what we've caught. However, if you're sick of these messages, you can turn them off by visiting your settings page: Thanks from the entire Project Honey Pot team and, we're sure if they knew, from the Internet community as a whole.",0
"Seems OK. The point I made was that the configuration and operation of the autoresponder (knowing how those things work) is something that needs to be done *outside* the realm of the plugin, after which you can integrate the plugin with that system. If the plugin can help control some of the autoresponder options, great, that's what it's there for, but knowing how and why those things work is system-specific, not part of the plugin and is the homework that needs to be done before using the plugin (merely a front-end to the autoresponder system).",0
Update of /cvsroot/spambayes/spambayes/spambayes In directory sc8-pr-cvs8.sourceforge.net:/tmp/cvs-serv15442 Removed Files: Tag: CORESVR WebAppPlugin.py Log Message: thought I removed this already --- WebAppPlugin.py DELETED,0
"YaST --> Software Management --> Search: apt will give you apt and few utilities. The problem is where to find software in format that apt understands. So far I know, there is no new versions in apt repositories, ie. it seems abandoned. -- Regards, Rajko. See",0
"Randall R Schulz wrote: It very much depends on the power supply in question. Today i would recommend buying one with over 80% efficiency. These often reach up to 85% efficiency, but only when they operate around 50% load: Power Supplies 101: A comprehensive guide Motherboards.org: The study you quote may be a bit outdated (2002) or be valid for cheap PSUs (Compaq). It is certainly good to check the characteristics of the PSU before you buy one: But as seen earlier in this thread, calculating the power consumption needs of the components used is not always easy. Kind regards Philippe",0
"Of course. But to go back to the original question (mine), the issue is whether highly over-rated supply is wasteful of power. It appears they are. Randall Schulz",0
"This is not related to the original question, but is it possible to match ""anything else"" (like you do with /./ in this pcre map) in bdb hash maps? Geert",0
That worked great! Thanks. I would have no idea how to do that. Joe - I'm (obviously) not making it to SCALE today. I'll see if I get there tomorrow. -- kai,0
Geert Hendrickx: Example of a one-word default action: smtpd_mumble_restrictions = ... check_client_access hash:whatever check_client_access static:defer_if_permit ... Example of a complex default action: smtpd_mumble_restrictions = ... check_client_access hash:whatever check_client_access pcre:whatever.pcre ... Analogous examples with virtual_alias_maps: virtual_alias_maps = hash:whatever static:xxx@yyy virtual_alias_maps = hash:whatever pcre:whatever.pcre Wietse,0
