message,label
This is an official notice from Amazon. Your account requires immediate verification.,1
"As per HMRC regulations, you must update your tax details immediately.",1
"Dear user, we noticed irregular transactions in your CitiBank account. Confirm your details now.",1
Warning: Unusual login attempt detected on your Facebook. Verify your identity.,1
"Dear user, we noticed irregular transactions in your Bank of America account. Confirm your details now.",1
Security alert: We have detected suspicious activity on your ProtonMail. Reset your password now!,1
Immediate action required: Your cloud storage subscription is expiring. Renew now.,1
Official communication: Your cloud storage will be suspended unless you comply with our security update.,1
Immediate action required: Your Spotify subscription is expiring. Renew now.,1
You’ve been selected for a premium Netflix trial. Sign up now before the offer expires.,1
"Dear user, we noticed irregular transactions in your CitiBank account. Confirm your details now.",1
Act fast! Your Bank of America account will be locked if not verified within 24 hours.,1
Special access granted! Login now to receive your free e-book before it’s too late.,1
Official communication: Your cloud storage will be suspended unless you comply with our security update.,1
Congratulations! You have won a free vacation. Click here to claim your reward.,1
Exclusive offer! Get a free free subscription by verifying your account today.,1
Security alert: We have detected suspicious activity on your Outlook. Reset your password now!,1
This is an official notice from Google. Your account requires immediate verification.,1
"As per IRS regulations, you must update your tax details immediately.",1
Attention: Your recent activity violates our PayPal policy. Verify your account to avoid penalties.,1
Official communication: Your banking will be suspended unless you comply with our security update.,1
Special access granted! Login now to receive your free e-book before it’s too late.,1
Immediate action required: Your cloud storage subscription is expiring. Renew now.,1
"Dear user, we noticed irregular transactions in your CitiBank account. Confirm your details now.",1
Act fast! Your HSBC account will be locked if not verified within 24 hours.,1
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,1
"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",1
"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!",1
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,1
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+,1
We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,1
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,1
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,1
Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,1
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,1
WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,1
Dear Subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062,1
Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,1
"449050000301 You have won a £2,000 price! To claim, call 09050000301.",1
"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",1
Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,1
For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,1
Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,1
Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,1
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,1
"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",1
1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m),1
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",1
Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248,1
WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,1
Good morning pookie pie! Lol hope I didn't wake u up,0
Do you know where my lab goggles went,0
"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",0
Is fujitsu s series lifebook good?,0
Does uncle timi help in clearing cars,0
"Greetings me, ! Consider yourself excused.",0
"Tunde, how are you doing. This is just wishing you a great day. Abiola.",0
Hahaha..use your brain dear..that will work here,0
HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,0
Ill be there on  &lt;#&gt;  ok.,0
Then she buying today? Ü no need to c meh...,0
Babe ? I lost you ... Will you try rebooting ?,0
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0
I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,0
Hey... Very inconvenient for your sis a not huh?,0
Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,0
Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,0
Will you be here for food,0
"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!!",0
"Yes, princess. Toledo.",0
K..give back my thanks.,0
Okay same with me. Well thanks for the clarification,0
"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",0
"Not sure yet, still trying to get a hold of him",0
I'm okay. Chasing the dream. What's good. What are you doing next.,0
